"日付け","終値","始値","高値","安値","出来高","前日比%"
"2019年11月30日","7,550.0","7,748.5","7,820.0","7,450.0","-","-2.57%"
"2019年11月29日","7,749.0","7,424.5","7,870.0","7,412.0","-","4.37%"
"2019年11月28日","7,424.5","7,521.0","7,662.0","7,365.0","-","-1.34%"
"2019年11月27日","7,525.0","7,160.0","7,666.5","6,840.5","-","5.09%"
"2019年11月26日","7,160.5","7,121.0","7,350.5","7,012.5","-","0.51%"
"2019年11月25日","7,124.0","6,902.5","7,380.0","6,516.5","-","3.20%"
"2019年11月24日","6,903.0","7,322.5","7,346.0","6,859.5","-","-5.73%"
"2019年11月23日","7,322.5","7,275.5","7,348.5","7,101.0","-","0.65%"
"2019年11月22日","7,275.0","7,614.0","7,720.0","6,736.0","-","-4.45%"
"2019年11月21日","7,614.0","8,079.5","8,117.5","7,355.0","-","-5.77%"
"2019年11月20日","8,080.0","8,123.5","8,233.0","8,026.0","-","-0.53%"
"2019年11月19日","8,123.0","8,174.0","8,198.5","7,984.0","-","-0.62%"
"2019年11月18日","8,173.5","8,506.5","8,506.5","8,011.0","-","-3.91%"
"2019年11月17日","8,506.0","8,484.0","8,637.0","8,380.0","-","0.25%"
"2019年11月16日","8,484.5","8,455.5","8,530.0","8,421.0","-","0.34%"
"2019年11月15日","8,456.0","8,630.5","8,780.0","8,350.0","-","-2.02%"
"2019年11月14日","8,630.5","8,764.0","8,794.0","8,556.0","-","-1.52%"
"2019年11月13日","8,763.5","8,818.5","8,846.5","8,709.5","-","-0.62%"
"2019年11月12日","8,818.0","8,717.0","8,868.0","8,560.0","-","1.15%"
"2019年11月11日","8,717.5","9,038.5","9,075.0","8,590.0","-","-3.55%"
"2019年11月10日","9,038.0","8,805.5","9,151.0","8,757.0","-","2.63%"
"2019年11月09日","8,806.0","8,765.5","8,880.0","8,726.0","-","0.47%"
"2019年11月08日","8,765.0","9,213.0","9,254.0","8,670.5","-","-4.86%"
"2019年11月07日","9,212.5","9,347.5","9,377.5","9,080.0","-","-1.44%"
"2019年11月06日","9,347.0","9,316.5","9,460.0","9,252.5","-","0.32%"
